"filename", "language", "vue", "comment", "blank", "total"
"d:\AAAAAAAAAAA\TestA\frontend\src\views\admin\AdminAppView.vue", "vue", 463, 2, 66, 531
"d:\AAAAAAAAAAA\TestA\frontend\src\views\admin\AdminBuildingView.vue", "vue", 164, 0, 22, 186
"d:\AAAAAAAAAAA\TestA\frontend\src\views\admin\AdminClassroomView.vue", "vue", 233, 0, 29, 262
"d:\AAAAAAAAAAA\TestA\frontend\src\views\admin\AdminCourseView.vue", "vue", 230, 0, 30, 260
"d:\AAAAAAAAAAA\TestA\frontend\src\views\admin\AdminHomeView.vue", "vue", 116, 4, 12, 132
"d:\AAAAAAAAAAA\TestA\frontend\src\views\admin\AdminLoginView.vue", "vue", 144, 0, 11, 155
"d:\AAAAAAAAAAA\TestA\frontend\src\views\admin\AdminMarketAuditView.vue", "vue", 95, 0, 11, 106
"d:\AAAAAAAAAAA\TestA\frontend\src\views\admin\AdminRepairView.vue", "vue", 160, 0, 20, 180
"d:\AAAAAAAAAAA\TestA\frontend\src\views\admin\AdminReservationLimitView.vue", "vue", 130, 0, 11, 141
"d:\AAAAAAAAAAA\TestA\frontend\src\views\admin\AdminReviewView.vue", "vue", 138, 0, 19, 157
"d:\AAAAAAAAAAA\TestA\frontend\src\views\admin\AdminScanDevicesView.vue", "vue", 317, 0, 20, 337
"Total", "-", 2190, 6, 251, 2447